GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,white,black,native,asian,hawaiian,other,multi,white_his,black_his,native_his,asian_his,hawaiian_his,other_his,multi_his
G3601190006802,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006802,006802,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,4971439,136188,Census Tract 68.02,S,40953580,-73789361,,,,4639,329,1,169,1,9,87,114,9,2,1,0,38,6
G3601190006900,2000,NY,1,2,New York,36,Westchester,119,,,,,0,006900,006900,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,6736396,112548,Census Tract 69,S,40950551,-73753155,,,,5014,113,3,259,1,21,62,193,13,1,2,0,71,28
G3601190007000,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007000,007000,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,2456696,4271092,Census Tract 70,S,40933234,-73761716,,,,5130,95,2,131,1,9,63,160,6,0,0,0,33,18
G3601190007100,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007100,007100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,2765413,6877433,Census Tract 71,S,40926201,-73753108,,,,5887,40,2,183,5,2,75,224,4,4,0,0,48,11
G3601190007200,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007200,007200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3525311,7957064,Census Tract 72,S,40941252,-73735423,,,,5049,199,3,198,2,4,74,609,15,6,5,1,258,54
G3601190007300,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007300,007300,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1654941,8086,Census Tract 73,S,40957226,-73740314,,,,2664,304,1,125,4,7,71,829,23,13,2,0,391,142
G3601190007401,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007401,007401,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1221846,0,Census Tract 74.01,S,40958285,-73730011,,,,3453,151,1,182,0,4,70,495,12,16,1,0,195,29
G3601190007402,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007402,007402,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1730847,849491,Census Tract 74.02,S,40951313,-73721477,,,,2415,43,4,140,0,1,35,100,12,1,0,5,40,6
G3601190007500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007500,007500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,4868673,1776242,Census Tract 75,S,40961308,-73705128,,,,3631,21,1,325,0,4,32,85,4,3,0,0,11,1
G3601190007600,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007600,007600,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,5569333,35111555,Census Tract 76,S,40965781,-73682243,,,,5315,108,3,317,1,11,66,193,4,0,2,0,49,11
G3601190007700,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007700,007700,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,4525144,0,Census Tract 77,S,40984298,-73685845,,,,3961,52,2,322,0,14,51,216,1,7,5,0,101,25
G3601190007800,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007800,007800,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1129883,184226,Census Tract 78,S,40992097,-73663682,,,,931,525,5,72,0,33,87,948,31,22,3,0,1089,247
G3601190007900,2000,NY,1,2,New York,36,Westchester,119,,,,,0,007900,007900,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1044689,0,Census Tract 79,S,40999740,-73674956,,,,2814,520,9,212,0,53,149,1393,47,16,6,0,1688,394
G3601190008000,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008000,008000,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,812213,113180,Census Tract 80,S,41002699,-73664427,,,,774,515,5,55,2,38,86,1235,46,32,0,1,2160,439
G3601190008100,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008100,008100,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,848038,45324,Census Tract 81,S,41012103,-73659300,,,,2183,97,5,63,0,25,87,739,12,8,0,0,707,215
G3601190008200,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008200,008200,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,2268945,0,Census Tract 82,S,41012558,-73671336,,,,5232,138,5,162,5,8,88,665,18,5,0,3,604,111
G3601190008301,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008301,008301,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1041593,19084,Census Tract 83.01,S,41005538,-73680530,,,,2049,50,0,119,1,5,22,200,7,13,0,0,87,20
G3601190008302,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008302,008302,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,7945656,0,Census Tract 83.02,S,41028654,-73686054,,,,5553,30,4,247,1,1,52,108,2,1,0,0,24,6
G3601190008401,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008401,008401,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,3610089,0,Census Tract 84.01,S,40977655,-73718175,,,,1967,13,0,99,0,1,22,58,0,4,0,0,2,6
G3601190008403,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008403,008403,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1274365,0,Census Tract 84.03,S,40970278,-73718064,,,,3111,19,2,333,0,4,46,180,0,2,0,0,39,27
G3601190008404,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008404,008404,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1129201,0,Census Tract 84.04,S,40964029,-73717282,,,,3786,25,0,471,0,8,53,257,4,4,3,0,60,22
G3601190008500,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008500,008500,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,13350446,0,Census Tract 85,S,40994078,-73713524,,,,3253,35,0,85,1,2,26,54,2,0,1,0,24,3
G3601190008601,2000,NY,1,2,New York,36,Westchester,119,,,,,0,008601,008601,,,,,,,,,,,5602,70,N,5600,9999,9,,,,,,,,1933864,0,Census Tract 86.01,S,41047079,-73703984,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
